siret;siren;nom;activite;enseigne;adresse;codePostal;ville;trancheEffectifs;etatEtablissement
37893235400517;378932354;GL EVENTS LIVE;82.30Z;;1 RUE FRANCOIS ROZIER;86130;JAUNAY-MARIGNY;32;A
90500229100011;905002291;3DL;73.20Z;;24 BOULEVARD DU GRAND CERF;86000;POITIERS;11;A
32187778900271;321877789;INSTITUT NATIONAL DE L'HYGIENE ET DU NETTOYAGE INDUSTRIEL;85.59A;;17 RUE ALBIN HALLER;86000;POITIERS;31;A
33441214500180;334412145;IRSS;85.59A;;190 RUE DE LA GIBAUDERIE;86000;POITIERS;31;A
87897500200055;878975002;GL EVENTS LIVE GRAND-OUEST;82.30Z;GL EVENTS LIVE GRAND OUEST POITIERS;1 RUE FRANCOIS ROZIER;86130;JAUNAY-MARIGNY;21;A
35036183800096;350361838;GRAPHIC APPLICATION;73.11Z;GRAPHIC POITIERS;1 RUE DU SOUS-LIEUTENANT RAYMOND;86580;BIARD;21;A
82436343600208;824363436;AFPA ACCES A L' EMPLOI;85.59A;CENTRE AE DE CHATELLERAULT;209  GRAND RUE DE CHATEAUNEUF;86100;CHATELLERAULT;32;A
82436343600307;824363436;AFPA ACCES A L' EMPLOI;85.59A;CENTRE AE DU VIGEANT;LE CHAUFFAUD;86150;LE VIGEANT;32;A
82409268800038;824092688;AFPA ENTREPRISES;85.59A;ANTENNE DR E NOUVELLE-AQUITAINE (POITIERS);5 BOULEVARD RENE DESCARTES;86360;CHASSENEUIL-DU-POITOU;32;A
33354415300609;333544153;M2I;85.59B;;15 AVENUE RENE CASSIN;86360;CHASSENEUIL-DU-POITOU;32;A
35201833700142;352018337;ENVERGURE SUD OUEST;85.59A;GROUPE FEL;53 RUE DU BOIS D'AMOUR;86280;SAINT-BENOIT;22;A
32385851400082;323858514;LIGUE DE L'ENSEIGNEMENT NOUVELLE AQUITAINE;85.59A;;18 RUE DE LA BROUETTE DU VINAIGRIER;86000;POITIERS;22;A
32385851400017;323858514;LIGUE DE L'ENSEIGNEMENT NOUVELLE AQUITAINE;85.59A;;33 RUE SAINT DENIS;86000;POITIERS;22;A
32385851400058;323858514;LIGUE DE L'ENSEIGNEMENT NOUVELLE AQUITAINE;85.59A;;14 QUAI DU 11 NOVEMBRE;86100;CHATELLERAULT;22;A
43893724500670;438937245;COMPLETUDE;85.59B;COMPLETUDE;2 RUE ALSACE LORRAINE;86000;POITIERS;22;A
49098556100011;490985561;ISFAC;85.59A;;17 RUE ALBIN HALLER;86000;POITIERS;21;A
49098556100060;490985561;ISFAC;85.59A;IDAIC;17 RUE ALBIN HALLER;86000;POITIERS;21;A
77566463400950;775664634;CTRE ENTRAINEM METHODE EDUCATION ACTIVE;85.59A;;17 RUE ALBIN HALLER;86000;POITIERS;21;A
77566463401156;775664634;CTRE ENTRAINEM METHODE EDUCATION ACTIVE;85.59A;;2 RUE THEOPHRASTE RENAUDOT;86000;POITIERS;21;A
31160444100023;311604441;PRESSE PROMOTION;73.11Z;;23 RUE DES LAVOIRS;86100;SENILLE-SAINT-SAUVEUR;12;A
44860581600041;448605816;GENIUS& CO;73.11Z;;AVENUE THOMAS EDISON;86360;CHASSENEUIL-DU-POITOU;11;A
38858345200049;388583452;TEXTILE ARTS GRAPHIQUES;73.11Z;;1 RUE VICTOR GRIGNARD;86000;POITIERS;11;A
79824783900029;798247839;MILOCTAV;73.11Z;;28 AVENUE DES TEMPS MODERNES;86360;CHASSENEUIL-DU-POITOU;11;A
48945506300037;489455063;IB-MEDIAS;73.11Z;;33 AVENUE DES TEMPS MODERNES;86360;CHASSENEUIL-DU-POITOU;11;A
38349340000253;383493400;DELISLE SAS;70.10Z;;ZA DE LA BELARDIERE;86130;DISSAY;31;A
34313476300956;343134763;VIVENDI SE;70.10Z;;RUE DE MONTMORILLON;86300;CHAUVIGNY;31;A
48388898800027;483888988;ECOLE DE LA 2EME CHANCE DE LA CHARENTE ET DU POITOU;85.59A;;209  GRAND RUE DE CHATEAUNEUF;86100;CHATELLERAULT;12;A
34825058000050;348250580;INDIGO FORMATION;85.59A;;13 RUE NORBERT PORTEJOIE;86400;CIVRAY;12;A
34825058000068;348250580;INDIGO FORMATION;85.59A;;144 RUE DE LA GIBAUDERIE;86000;POITIERS;12;A
41885869200043;418858692;TALIS POITIERS;85.59A;;13 ALLEE DES ANCIENNES SERRES;86280;SAINT-BENOIT;12;A
78926103900059;789261039;JBB;85.59A;ECOLE MATILE;3 RUE BLAISE PASCAL;86130;JAUNAY-MARIGNY;12;A
42109558900055;421095589;INITIATIVE FORMATION 86;85.59A;;6 ALLEE DU NIVERNAIS;86000;POITIERS;12;A
50336080200055;503360802;LA MAISON DE L'ANGLAIS;85.59A;WALL STREET ENGLISH;62 AVENUE DU PLATEAU DES GLIERES;86000;POITIERS;12;A
39336786700206;393367867;M2I SCRIBTEL;85.59A;;15 AVENUE RENE CASSIN;86360;CHASSENEUIL-DU-POITOU;12;A
42109558900048;421095589;INITIATIVE FORMATION 86;85.59A;;2 RUE GEORGES ROUAULT;86100;CHATELLERAULT;12;A
49213996900090;492139969;LES PETITS DEBROUILLARDS NOUVELLE-AQUITAINE NORD;85.59B;;35 RUE ALIENOR Dâ€™AQUITAINE;86100;CHATELLERAULT;12;A
49213996900082;492139969;LES PETITS DEBROUILLARDS NOUVELLE-AQUITAINE NORD;85.59B;;130 AVENUE DE LA LIBERATION;86000;POITIERS;12;A
40144586100016;401445861;FORMATION TRANSPORT SECURITE ROUTIERE;85.59A;;56 RUE AIME RASSETEAU;86100;CHATELLERAULT;11;A
34959731000094;349597310;TALIS COMPTENCES & CERTIFICATIONS;85.59A;;13 ALLEE DES ANCIENNES SERRES;86280;SAINT-BENOIT;11;A
35112793100076;351127931;TALIS FORMATION;85.59A;;13 ALLEE DES ANCIENNES SERRES;86280;SAINT-BENOIT;11;A
40144586100024;401445861;FORMATION TRANSPORT SECURITE ROUTIERE;85.59A;;20 RUE DE LA RIVIERE;86220;DANGE-SAINT-ROMAIN;11;A
91386475700038;913864757;ALTERNANCE CHARENTE;85.59A;GROUPE ALTERNANCE POITIERS;53 RUE DU BOIS D'AMOUR;86280;SAINT-BENOIT;11;A
83803920400030;838039204;NOVE CONCEPT;85.59A;;4 RUE CAROL HEITZ;86000;POITIERS;11;A
45182045000034;451820450;ASS ENS CATHOLIQUE DE POITOU-CHARENTES;85.59B;;36 BOULEVARD ANATOLE FRANCE;86000;POITIERS;11;A
42046338200036;420463382;ECOLE DE MUSIQUE INTERCOMMUNALE LES VALLEES DU CLAIN;85.59B;;1 RUE DU STADE;86340;NOUAILLE-MAUPERTUIS;11;A
47975096000078;479750960;SOCOTEC SMART SOLUTIONS - ASCAUDIT GROUPE;70.22Z;;6 RUE DE LA GOELETTE;86280;SAINT-BENOIT;21;A
44319473300020;443194733;ACEASCOP FORMASCOPE;70.22Z;;6 RUE ALBIN HALLER;86000;POITIERS;21;A
44319473300012;443194733;ACEASCOP FORMASCOPE;70.22Z;;16 RUE ALBERT EINSTEIN;86100;CHATELLERAULT;21;A
30573060800026;305730608;BRUNET HOLDING;70.10Z;;2 ALLEE DES CYTISES;86360;CHASSENEUIL-DU-POITOU;21;A
49260939100056;492609391;KION FRANCE SERVICES SAS;70.10Z;;RUE DE TOURAINE;86530;CENON-SUR-VIENNE;21;A
41093654600119;410936546;DUO SOLUTIONS SERVICES;70.22Z;;16 RUE DU PRE MEDARD;86280;SAINT-BENOIT;12;A
79903382400043;799033824;EURIAL MANAGEMENT;70.22Z;;3 PLACE DU CHAMP DE FOIRE;86220;DANGE-SAINT-ROMAIN;12;A
41093654600028;410936546;DUO SOLUTIONS SERVICES;70.22Z;;RUE GEORGES SERVANT;86000;POITIERS;12;A
88026217500016;880262175;PIERREVAL EXPLOITATION;70.22Z;;BOULEVARD RENE DESCARTES;86360;CHASSENEUIL-DU-POITOU;12;A
80007383500178;800073835;AKEA ENERGIES;70.22Z;;RUE CLAUDE CHAPPE;86000;POITIERS;12;A
95217794700035;952177947;FOCSIE ATLANTIQUE;70.22Z;;6 AVENUE CLEMENT ADER;86360;CHASSENEUIL-DU-POITOU;12;A
35249745700064;352497457;ACTIFORCES;70.22Z;;AVENUE DU FUTUROSCOPE;86360;CHASSENEUIL-DU-POITOU;12;A
87906625600030;879066256;F2J DEVELOPMENT;70.22Z;;37 RUE BERNARD PALISSY;86100;CHATELLERAULT;11;A
48798228200039;487982282;APERLEAD EXECUTIVE SEARCH;70.22Z;;LA MORCIERE;86510;BRUX;11;A
83078140700044;830781407;NEOLOJI TECHNOPOLE GRAND POITIERS;70.22Z;;24 BOULEVARD DU GRAND CERF;86000;POITIERS;11;A
50756511700037;507565117;THOMAS LEGRAND CONSULTANTS;70.22Z;;6 RUE BLAISE PASCAL;86130;JAUNAY-MARIGNY;11;A
83078140700036;830781407;NEOLOJI TECHNOPOLE GRAND POITIERS;70.22Z;;2 AVENUE GALILEE;86360;CHASSENEUIL-DU-POITOU;11;A
38149448300039;381494483;AGENCE REGIONALE D'EVALUATION ENVIRONNEMENT ET CLIMAT;70.22Z;;60 RUE JEAN JAURES;86000;POITIERS;11;A
89414876600161;894148766;HELLIO INGENIERIE;70.22Z;HELLIO CONSEIL;RUE CLAUDE CHAPPE;86000;POITIERS;11;A
80814053700032;808140537;ROEBLING CAPITAL;70.22Z;;135 RUE DE LA VINCENDERIE;86000;POITIERS;11;A
42484594900462;424845949;ALTITUDE;70.22Z;;5 RUE VICTOR HUGO;86000;POITIERS;11;A
50465834500112;504658345;TGS FRANCE PATRIMOINE;70.22Z;TGS FRANCE PATRIMOINE;2 RUE CAROLINE AIGLE;86000;POITIERS;11;A
96950856300679;969508563;RAS;70.10Z;;216 AVENUE DU 8 MAI 1945;86000;POITIERS;12;A
31468572800078;314685728;CAFES MERLING GESTION;70.10Z;;1 RUE DES TRANSPORTEURS;86000;POITIERS;12;A
84419897800018;844198978;SAS POLE GESTION MULTI SERVICES;70.10Z;;8 RUE RAOUL MORTIER;86190;VOUILLE;12;A
43768102600047;437681026;SAS GRIMAULT PAILLE ET FOURRAGE;70.10Z;;4 RUE DES IRIS;86110;CRAON;12;A
34861614500069;348616145;GROUPE AUTOSPHERE;70.10Z;;12 BOULEVARD RENE DESCARTES;86360;CHASSENEUIL-DU-POITOU;12;A
53172888900142;531728889;EDOUARD DENIS DEVELOPPEMENT;70.10Z;;10 RUE GASTON HULIN;86000;POITIERS;12;A
43768102600021;437681026;SAS GRIMAULT PAILLE ET FOURRAGE;70.10Z;;4 RUE DES IRIS;86110;CRAON;12;A
84965176500026;849651765;RP FRANCE;70.10Z;;10 RUE JEAN BAPTISTE BOUSSINGAULT;86000;POITIERS;11;A
41942292800012;419422928;PGA HOLDING;70.10Z;;9 RUE GRELIN-SARZEC;86360;MONTAMISE;11;A
88051409600036;880514096;DF INVESTISSEMENTS;70.10Z;;32 AVENUE DES TEMPS MODERNES;86360;CHASSENEUIL-DU-POITOU;11;A
38420563900030;384205639;FMS;70.10Z;;RTE DE NERPUY;86530;NAINTRE;11;A